window,start_idx,cost,feasibility,mass_estimate,min_info_eig,max_info_eig,extraction_status,information_forgetting_factor,arrival_prior_diag_0,arrival_prior_diag_1,arrival_prior_diag_2,arrival_prior_diag_3,arrival_prior_diag_4,arrival_prior_diag_5,arrival_prior_diag_6,arrival_prior_diag_7,arrival_prior_diag_8,arrival_prior_diag_9,marginal_hessian_diag_0,marginal_hessian_diag_1,marginal_hessian_diag_2,marginal_hessian_diag_3,marginal_hessian_diag_4,marginal_hessian_diag_5,marginal_hessian_diag_6,marginal_hessian_diag_7,marginal_hessian_diag_8,marginal_hessian_diag_9,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9
137,23700,20043.0975704,0,14.0253050478,16207.9654023,3077961161.45,dropped_horizon_backward,1,496981858.105,24359.2998994,18574.5044242,16877.4904789,261175.819887,1808211.80629,909657.196737,1549362310.01,3052961509.57,6449335.84024,500397403.228,24422.6923027,18595.5172832,16886.9557174,263392.509539,1824451.07225,917501.641655,1560633147.13,3075658726.29,6513001.7336,1.32043160073,-2.22080213803,-3.00108365839,-3.23406563584,0.0359574619575,-0.0502239217333,0.134051038096,0.0269169856518,0.0164310913831,0.0672490389602
138,23800,18878.0244894,0,14.02543427,16208.5449885,3099700805.24,dropped_horizon_backward,1,500397403.228,24422.6923027,18595.5172832,16886.9557174,263392.509539,1824451.07225,917501.641655,1560633147.13,3075658726.29,6513001.7336,504031073.913,24463.4208318,18621.8476508,16895.9855207,265426.906793,1838856.2387,923732.786974,1571880971.54,3097372897.86,6563599.8163,1.32043620746,-2.22074794866,-3.00159619427,-3.23402706228,0.0346902278915,-0.0493921631931,0.134012692055,0.0269485435157,0.0164425686358,0.0680062172336
139,23900,20588.5812239,0,14.0270010196,16208.9915087,3122885113.87,dropped_horizon_backward,1,504031073.913,24463.4208318,18621.8476508,16895.9855207,265426.906793,1838856.2387,923732.786974,1571880971.54,3097372897.86,6563599.8163,507938211.659,24507.5777909,18641.2442072,16903.1772732,267040.207553,1850057.31069,929775.143374,1583822564.33,3120543412.27,6616658.33056,1.32049205821,-2.22123036896,-3.00031350948,-3.23235603601,0.0364284679342,-0.0502223946708,0.133496286155,0.0269153154618,0.0164276805033,0.0667848778462
140,24000,22272.5769517,0,14.0256040291,16209.5388962,3146125405.07,dropped_horizon_backward,1,507938211.659,24507.5777909,18641.2442072,16903.1772732,267040.207553,1850057.31069,929775.143374,1583822564.33,3120543412.27,6616658.33056,511331715.707,24547.7351155,18665.5914885,16913.6526484,269152.072488,1867546.52317,936171.818698,1594841422.23,3143788559.47,6664698.92791,1.32044225925,-2.22216796192,-3.00058789165,-3.23080373159,0.0360568321737,-0.0505248697443,0.134287532609,0.026916657794,0.0164423943942,0.067072155474
141,24100,18600.9421289,0,14.0265718115,16210.3918518,3168235565.02,dropped_horizon_backward,1,511331715.707,24547.7351155,18665.5914885,16913.6526484,269152.072488,1867546.52317,936171.818698,1594841422.23,3143788559.47,6664698.92791,515046459.745,24610.9265928,18689.7991323,16921.3489803,271650.05475,1878578.00746,944086.297333,1606222825.41,3165892938.64,6688345.44469,1.32047675863,-2.2220272215,-3.00147066129,-3.23056869007,0.0343451497843,-0.0499838694837,0.133987632008,0.0269395747595,0.0164517328513,0.0679139792666
142,24200,19796.8897693,0,14.027439471,16211.2380976,3190496749.43,dropped_horizon_backward,1,515046459.745,24610.9265928,18689.7991323,16921.3489803,271650.05475,1878578.00746,944086.297333,1606222825.41,3165892938.64,6688345.44469,518906387.088,24672.2721034,18701.7865611,16926.958188,273553.253744,1890877.51767,953131.685839,1617916157.19,3188127774.07,6720251.05264,1.32050768681,-2.22243539177,-3.00045549838,-3.22879547374,0.037654931695,-0.051564513538,0.133460259598,0.0269077858027,0.0164158103744,0.0664553622758
143,24300,20059.2162275,0,14.026448062,16212.0993169,3213202396.19,dropped_horizon_backward,1,518906387.088,24672.2721034,18701.7865611,16926.958188,273553.253744,1890877.51767,953131.685839,1617916157.19,3188127774.07,6720251.05264,522321124.237,24739.6864319,18724.8107728,16936.6979704,276081.06819,1908052.37591,961628.065506,1629168767.01,3210798272.31,6781498.32294,1.32047234735,-2.22339836358,-3.00036916069,-3.22611970683,0.0366562953048,-0.0507021201852,0.133997200562,0.0269131045117,0.0164167975939,0.0667957259913
144,24400,19135.6280579,0,14.0265873993,16212.6547349,3234967932.62,dropped_horizon_backward,1,522321124.237,24739.6864319,18724.8107728,16936.6979704,276081.06819,1908052.37591,961628.065506,1629168767.01,3210798272.31,6781498.32294,525956015.654,24779.4171637,18750.2119469,16945.5135985,278024.106084,1922354.11418,967864.668359,1640418433.77,3232538796.09,6830521.03653,1.32047731428,-2.22333683377,-3.00085334217,-3.22604341416,0.035485249579,-0.0499906931555,0.133971421139,0.0269393729711,0.0164277794431,0.0674947463061
145,24500,21403.2634435,0,14.0280600983,16213.1303087,3258191500.11,dropped_horizon_backward,1,525956015.654,24779.4171637,18750.2119469,16945.5135985,278024.106084,1922354.11418,967864.668359,1640418433.77,3232538796.09,6830521.03653,529869019.519,24825.2065385,18769.8527134,16953.0644779,279730.232533,1934131.1486,974282.056066,1652388266.71,3255747972.8,6885095.69662,1.32052980822,-2.22382368915,-2.99946909175,-3.22429087328,0.0372279779565,-0.0508177897598,0.133420969197,0.026905371873,0.0164127266573,0.0662693853489
146,24600,23597.7633025,0,14.0265573794,16213.680922,3281421929.91,dropped_horizon_backward,1,529869019.519,24825.2065385,18769.8527134,16953.0644779,279730.232533,1934131.1486,974282.056066,1652388266.71,3255747972.8,6885095.69662,533258533.572,24865.6951786,18795.4322057,16963.6239242,281894.700602,1951698.441,980745.758127,1663399378.36,3278983949.55,6933671.02489,1.32047624417,-2.22485055001,-2.99984654545,-3.22270957738,0.0368350322402,-0.0511427884282,0.134306427001,0.026908686338,0.0164280676143,0.066564373998
