window,start_idx,cost,feasibility,mass_estimate,min_info_eig,max_info_eig,extraction_status,arrival_prior_diag_0,arrival_prior_diag_1,arrival_prior_diag_2,arrival_prior_diag_3,arrival_prior_diag_4,arrival_prior_diag_5,arrival_prior_diag_6,arrival_prior_diag_7,arrival_prior_diag_8,arrival_prior_diag_9,marginal_hessian_diag_0,marginal_hessian_diag_1,marginal_hessian_diag_2,marginal_hessian_diag_3,marginal_hessian_diag_4,marginal_hessian_diag_5,marginal_hessian_diag_6,marginal_hessian_diag_7,marginal_hessian_diag_8,marginal_hessian_diag_9,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9
59,1380,4140.18094845,0,9.53936570581,16515.0940001,118310206.41,dropped_horizon_backward,14057194.5554,119840.175126,32223.2763542,19977.908479,1179206.11383,489825.471511,753386.382161,69254263.2342,117019590.699,34034060.8343,14206731.961,130792.664556,32223.6498549,20049.2676923,1270680.66739,506561.149449,758452.786085,70412789.6857,118282325.247,34823301.2097,1.12771349769,-2.20514731936,-3.09860767909,-3.48053288129,0.00298079710425,-0.0108011481141,-0.000343427578455,0.0210799506576,-0.000318028575327,-0.0041093862412
60,1400,3166.40363383,0,9.54198445618,16545.7312145,119577023.767,dropped_horizon_backward,14206731.961,130792.664556,32223.6498549,20049.2676923,1270680.66739,506561.149449,758452.786085,70412789.6857,118282325.247,34823301.2097,14382597.0976,134063.272771,32224.1964225,20072.4084764,1302822.91002,516748.428275,760848.8485,71818547.338,119546140.604,35104616.8034,1.12785073905,-2.22609243791,-3.09276004519,-3.49409533603,0.00242248132239,-0.0131684667826,-0.00116357106844,0.0204762580291,-0.000324805174844,-0.00362243907514
61,1420,4186.74973641,0,9.54082651952,16561.0045476,121432905.285,dropped_horizon_backward,14382597.0976,134063.272771,32224.1964225,20072.4084764,1302822.91002,516748.428275,760848.8485,71818547.338,119546140.604,35104616.8034,14662520.5388,135861.22196,32224.606241,20085.1341993,1315820.27452,521706.998237,761818.461994,73503430.964,121398261.93,35305506.2613,1.12779005949,-2.2309550309,-3.08928580323,-3.49668034961,0.00234063016726,-0.0132360429772,-0.00115948764563,0.0202575078393,-0.00031888871123,-0.00387700322343
62,1440,5413.70672181,0,9.55028277658,16561.1130313,123282865.199,dropped_horizon_backward,14662520.5388,135861.22196,32224.606241,20085.1341993,1315820.27452,521706.998237,761818.461994,73503430.964,121398261.93,35305506.2613,14935234.3865,135887.479948,32224.6307927,20085.3132399,1316093.7383,521771.69466,761835.707802,74672789.4251,123246254.791,35356780.0281,1.12828538208,-2.2313056101,-3.08977926432,-3.49671498137,0.00234078583742,-0.0131069312525,-0.00117708042233,0.0203880990593,-0.000312987903891,-0.00383606069717
63,1460,4732.50860655,0,9.56581259844,16561.1895858,124881387.651,dropped_horizon_backward,14935234.3865,135887.479948,32224.6307927,20085.3132399,1316093.7383,521771.69466,761835.707802,74672789.4251,123246254.791,35356780.0281,15167847.9949,135890.399694,32224.6658187,20085.3383518,1316203.04604,521776.993278,761846.894878,75640743.8181,124843003.543,35391489.9323,1.12909777734,-2.2324661362,-3.0905043848,-3.49721052668,0.00232349229727,-0.0130979750414,-0.00122078985547,0.0204711285744,-0.00031445603202,-0.00376128551579
64,1480,4349.74031901,0,9.58034480114,16561.2522653,126426896.328,dropped_horizon_backward,15167847.9949,135890.399694,32224.6658187,20085.3383518,1316203.04604,521776.993278,761846.894878,75640743.8181,124843003.543,35391489.9323,15390828.865,135892.685679,32224.6761595,20085.355681,1316304.76849,521780.762909,761856.058602,76583847.8951,126387022.169,35409259.5706,1.12985679155,-2.23360633474,-3.09109761788,-3.49765207513,0.00232485625866,-0.0130748716087,-0.00125841967318,0.0205772720695,-0.000323262867194,-0.00370373745755
65,1500,5460.90695578,0,9.58947311643,16561.7525528,128061050.276,dropped_horizon_backward,15390828.865,135892.685679,32224.6761595,20085.355681,1316304.76849,521780.762909,761856.058602,76583847.8951,126387022.169,35409259.5706,15626708.7225,135941.045477,32224.7663376,20085.6986433,1317280.02071,521846.968286,761942.883466,77575845.8165,128019945.023,35422270.5,1.13033297323,-2.23540567235,-3.09116166486,-3.49847574291,0.00228546793394,-0.0131807417291,-0.00131683958184,0.0207601755611,-0.000336693649307,-0.00364231251817
66,1520,9012.64781243,0,9.61004516329,16593.6226504,129762519.65,dropped_horizon_backward,15626708.7225,135941.045477,32224.7663376,20085.6986433,1317280.02071,521846.968286,761942.883466,77575845.8165,128019945.023,35422270.5,15868926.1266,139506.034026,32225.6948764,20110.5347601,1348022.6508,531190.867458,764407.696828,78596149.6922,129723006.972,35757543.1226,1.13140446129,-2.22009866409,-3.0941638303,-3.48833574607,0.00279145571884,-0.0108918485699,-0.000152927462853,0.0200792192927,-0.000344971200855,-0.00447485651015
67,1540,9294.94458577,0,9.60975770993,16619.2628513,131018551.339,dropped_horizon_backward,15868926.1266,139506.034026,32225.6948764,20110.5347601,1348022.6508,531190.867458,764407.696828,78596149.6922,129723006.972,35757543.1226,16089597.0085,142929.757118,32225.8051915,20133.7320222,1363661.18517,538680.648474,765782.944753,80075394.0339,130975614.963,36250422.694,1.13138950519,-2.23336902242,-3.08990853424,-3.49576341306,0.00223374140845,-0.013342916288,0.000109080169366,0.019650542411,-0.000366792349044,-0.00441341090054
68,1560,9087.95853834,0,9.60318757508,16620.3637082,132506041.976,dropped_horizon_backward,16089597.0085,142929.757118,32225.8051915,20133.7320222,1363661.18517,538680.648474,765782.944753,80075394.0339,130975614.963,36250422.694,16358349.6998,143147.167343,32226.3789022,20135.2166586,1365206.13337,539177.387133,765897.094012,81154471.4391,132461903.434,36599489.5405,1.13104754122,-2.23399239177,-3.08917407497,-3.49627153086,0.00215440448031,-0.0135025947122,0.000139985469655,0.0195130497065,-0.000364232068859,-0.00444465381414
69,1580,7346.0915909,0,9.6057552263,16620.3977015,133930516.033,dropped_horizon_backward,16358349.6998,143147.167343,32226.3789022,20135.2166586,1365206.13337,539177.387133,765897.094012,81154471.4391,132461903.434,36599489.5405,16614332.1412,143151.714712,32226.3888385,20135.249078,1365295.3831,539186.653624,765904.346618,82060740.8072,133885350.276,36905657.4724,1.13118121079,-2.23424434697,-3.08959350398,-3.49653336733,0.0021355051971,-0.0135309283796,7.16672116796e-05,0.0195442528041,-0.000353331141094,-0.00436190179091
70,1600,4989.89262278,0,9.61224261679,16620.5173129,135242511.869,dropped_horizon_backward,16614332.1412,143151.714712,32226.3888385,20135.249078,1365295.3831,539186.653624,765904.346618,82060740.8072,133885350.276,36905657.4724,16852572.0932,143155.111792,32226.4258298,20135.2745131,1365345.89764,539191.238292,765910.056584,82863087.5939,135196564.934,37211580.5205,1.13151877929,-2.23488128635,-3.09021618107,-3.49699103982,0.00212028012265,-0.013587461793,-1.94322497636e-05,0.0195894722523,-0.000345307190019,-0.00425165738599
71,1620,3946.66984684,0,9.60734391452,16679.2545041,136522506.261,dropped_horizon_backward,16852572.0932,143155.111792,32226.4258298,20135.2745131,1365345.89764,539191.238292,765910.056584,82863087.5939,135196564.934,37211580.5205,17067891.5855,151923.803349,32227.0738479,20193.2024908,1410831.15285,548345.02746,769828.272089,84367995.2882,136472589.286,37861248.8304,1.13126389856,-2.23349870117,-3.09083832167,-3.4968995669,0.00286620598146,-0.0129139203113,-0.000400393192508,0.0195609360239,-0.000342844111903,-0.00413069598455
72,1640,3992.96356944,0,9.60213052012,16689.7649817,138457597.705,dropped_horizon_backward,17067891.5855,151923.803349,32227.0738479,20193.2024908,1410831.15285,548345.02746,769828.272089,84367995.2882,136472589.286,37861248.8304,17359238.9579,153226.618509,32229.2913948,20203.7174309,1426990.85936,552467.336068,772555.02984,85559040.0773,138408846.586,38017820.1196,1.13099250152,-2.24620426746,-3.08860027356,-3.50475353432,0.00321753370227,-0.014408181221,-0.00146367286965,0.0203743341248,-0.000355639271488,-0.00352807686483
