window,start_idx,cost,feasibility,mass_estimate,min_info_eig,max_info_eig,extraction_status,arrival_prior_diag_0,arrival_prior_diag_1,arrival_prior_diag_2,arrival_prior_diag_3,arrival_prior_diag_4,arrival_prior_diag_5,arrival_prior_diag_6,arrival_prior_diag_7,arrival_prior_diag_8,arrival_prior_diag_9,marginal_hessian_diag_0,marginal_hessian_diag_1,marginal_hessian_diag_2,marginal_hessian_diag_3,marginal_hessian_diag_4,marginal_hessian_diag_5,marginal_hessian_diag_6,marginal_hessian_diag_7,marginal_hessian_diag_8,marginal_hessian_diag_9,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9
96,2120,73745.7446162,0,6.53531070369,16572.1954292,95211779.5734,dropped_horizon_backward,12224628.8986,110688.260132,28176.1016432,19022.3745174,1106915.93687,618758.925743,782598.446463,58138064.2215,93749262.5347,22117729.2073,12391665.6013,110690.853956,28176.7580139,19022.5366505,1106973.87355,618769.042758,782610.670509,59021874.9584,95189042.2836,22120515.7753,0.938609945253,-2.1984588582,-2.97859984165,-3.38046054989,-0.00790943167857,-0.00144754965954,-0.00955071617194,0.0295446355528,-0.00127954356286,-0.102452540695
97,2140,101029.744875,0,6.59417769232,16572.2263841,98299638.7718,dropped_horizon_backward,12391665.6013,110690.853956,28176.7580139,19022.5366505,1106973.87355,618769.042758,782610.670509,59021874.9584,95189042.2836,22120515.7753,12824391.7757,110697.109809,28176.8206545,19022.6077628,1107032.31025,618790.820612,782621.051424,60844745.0272,98276623.2813,22126254.2899,0.943093545931,-2.20148041586,-2.97862609773,-3.38023031299,-0.00778962272614,-0.00156757463405,-0.010872271973,0.0285283445576,-0.00131742853706,-0.101892608707
98,2160,96054.9229097,0,6.65336608632,16572.8008072,99036773.9172,dropped_horizon_backward,12824391.7757,110697.109809,28176.8206545,19022.6077628,1107032.31025,618790.820612,782621.051424,60844745.0272,98276623.2813,22126254.2899,12855188.7714,110895.598382,28177.4717139,19024.5966897,1108210.09154,619351.574634,782856.221203,61110471.2254,99013644.0726,22155405.3549,0.947561452499,-2.20438587302,-2.97880087942,-3.3798932141,-0.00758093073671,-0.0016912189045,-0.0116534691865,0.0279427128532,-0.0013398120903,-0.101294084292
99,2180,43470.8162986,0,6.65335570441,16572.8116313,99037497.1297,dropped_horizon_backward,12855188.7714,110895.598382,28177.4717139,19024.5966897,1108210.09154,619351.574634,782856.221203,61110471.2254,99013644.0726,22155405.3549,12855206.7003,110898.64352,28177.6603295,19024.6667467,1108269.49909,619363.848316,782868.375604,61111019.8222,99014363.5401,22155783.4712,0.947560672298,-2.20438096954,-2.97878263897,-3.37988188497,-0.00758440506518,-0.00169721988789,-0.0116518477283,0.0279424246811,-0.00133988228702,-0.101294414402
100,2200,0,65.155920491,6.63149429571,16573.0558581,99094786.4957,dropped_horizon_backward,12855206.7003,110898.64352,28177.6603295,19024.6667467,1108269.49909,619363.848316,782868.375604,61111019.8222,99014363.5401,22155783.4712,12859571.4469,110970.253034,28179.5245775,19025.713423,1109352.50853,619667.687242,783006.152858,61137872.6625,99071376.8206,22161030.8823,0.945915081386,-2.20206718504,-2.97763684626,-3.37920255303,-0.00733185540876,-0.00193433051187,-0.0116791519801,0.0278479479874,-0.0014281291578,-0.101455435455
101,2220,92229.9738885,0,6.61932782456,16577.6757671,100236070.33,dropped_horizon_backward,12859571.4469,110970.253034,28179.5245775,19025.713423,1109352.50853,619667.687242,783006.152858,61137872.6625,99071376.8206,22161030.8823,12934969.6145,112151.182328,28183.4150179,19037.0260061,1124701.0628,624604.34554,784210.665204,61604450.194,100214234.542,22264172.1538,0.944996913859,-2.22486164924,-2.97623360783,-3.38804276752,-0.00709258936482,-0.00252254733202,-0.0130296700025,0.0285481824095,-0.00138079056572,-0.102308763119
102,2240,58364.6480631,0,6.58740439057,16578.2537994,102724771.563,dropped_horizon_backward,12934969.6145,112151.182328,28183.4150179,19037.0260061,1124701.0628,624604.34554,784210.665204,61604450.194,100214234.542,22264172.1538,13239445.9871,112311.379497,28183.7069205,19038.5521142,1126087.96138,625119.488401,784436.960082,63199631.723,102702615.967,22285976.8203,0.942579699999,-2.22263630628,-2.97434395815,-3.38690630473,-0.00700462635989,-0.00231496634884,-0.0129143231021,0.0288470407917,-0.00132997121036,-0.102265928651
103,2260,55781.2094938,0,6.59471054657,16579.4688904,106065958.633,dropped_horizon_backward,13239445.9871,112311.379497,28183.7069205,19038.5521142,1126087.96138,625119.488401,784436.960082,63199631.723,102702615.967,22285976.8203,13684792.8052,112617.342465,28183.7856956,19041.4532386,1128432.78118,625907.938675,784932.751817,65539286.4406,106042813.771,22316651.3159,0.943133947688,-2.22499173101,-2.97378322435,-3.3874980469,-0.00684611911678,-0.00236552123652,-0.0135980159591,0.0284869336964,-0.001295546859,-0.102191949067
104,2280,102830.05778,0,6.64793368419,16579.4945259,109846732.243,dropped_horizon_backward,13684792.8052,112617.342465,28183.7856956,19041.4532386,1128432.78118,625907.938675,784932.751817,65539286.4406,106042813.771,22316651.3159,14235454.9716,112622.127213,28183.8021902,19041.5041676,1128493.60903,625922.67951,784942.258956,67893334.8985,109824206.329,22323934.3745,0.9471530411,-2.22642044083,-2.97478797764,-3.38734451251,-0.00682429379729,-0.00247785293825,-0.0148385677489,0.0273984394304,-0.00126250112679,-0.101803195701
105,2300,100367.975699,0,6.6002616669,16580.6850932,110606136.227,dropped_horizon_backward,14235454.9716,112622.127213,28183.8021902,19041.5041676,1128493.60903,625922.67951,784942.258956,67893334.8985,109824206.329,22323934.3745,14269596.2993,113052.105811,28186.9172323,19046.3344588,1132336.50092,626683.105117,785786.908909,68169732.9038,110584260.557,22365546.4811,0.943554647374,-2.22862053061,-2.97266127211,-3.38854414741,-0.00641313745576,-0.0021183009675,-0.0149006227171,0.0278290276645,-0.00123963092045,-0.101948550397
